,user_loc,fr_loc,scaled_sci,user_city_id,fr_city_id
114,KIRIKKALE,TEKIRDAG,11291,49,74
115,AKSARAY,TEKIRDAG,9923,5,74
116,NIGDE,TEKIRDAG,12274,63,74
117,NEVSEHIR,TEKIRDAG,8715,62,74
118,KIRSEHIR,TEKIRDAG,7090,51,74
119,KAYSERI,TEKIRDAG,6179,47,74
120,SIVAS,TEKIRDAG,9428,73,74
121,YOZGAT,TEKIRDAG,10423,81,74
122,ZONGULDAK,TEKIRDAG,20423,82,74
123,KARABUK,TEKIRDAG,13797,43,74
124,BARTIN,TEKIRDAG,20052,13,74
125,KASTAMONU,TEKIRDAG,14891,46,74
126,CANKIRI,TEKIRDAG,7991,23,74
127,SINOP,TEKIRDAG,35025,71,74
128,SAMSUN,TEKIRDAG,18888,68,74
129,TOKAT,TEKIRDAG,26486,75,74
130,CORUM,TEKIRDAG,7593,24,74
131,AMASYA,TEKIRDAG,15988,6,74
132,TRABZON,TEKIRDAG,10848,76,74
133,ORDU,TEKIRDAG,19721,64,74
134,GIRESUN,TEKIRDAG,10938,34,74
135,RIZE,TEKIRDAG,9557,66,74
136,ARTVIN,TEKIRDAG,10337,10,74
137,GUMUSHANE,TEKIRDAG,12079,35,74
138,ERZURUM,TEKIRDAG,17600,31,74
139,ERZINCAN,TEKIRDAG,13203,30,74
140,BAYBURT,TEKIRDAG,14458,15,74
141,AGRI,TEKIRDAG,16455,4,74
142,KARS,TEKIRDAG,32822,45,74
143,IGDIR,TEKIRDAG,23161,38,74
144,ARDAHAN,TEKIRDAG,21828,9,74
145,MALATYA,TEKIRDAG,7500,56,74
146,ELAZIG,TEKIRDAG,6503,29,74
147,BINGOL,TEKIRDAG,5885,17,74
148,TUNCELI,TEKIRDAG,15051,77,74
149,VAN,TEKIRDAG,16344,79,74
150,MUS,TEKIRDAG,20955,61,74
151,BITLIS,TEKIRDAG,9760,18,74
152,HAKKARI,TEKIRDAG,9642,36,74
153,GAZIANTEP,TEKIRDAG,4567,33,74
154,ADIYAMAN,TEKIRDAG,7947,2,74
155,KILIS,TEKIRDAG,4936,48,74
156,SANLIURFA,TEKIRDAG,6578,69,74
157,DIYARBAKIR,TEKIRDAG,5490,26,74
158,MARDIN,TEKIRDAG,5122,58,74
159,BATMAN,TEKIRDAG,6015,14,74
160,SIRNAK,TEKIRDAG,5365,72,74
161,SIIRT,TEKIRDAG,8361,70,74
162,ISTANBUL,EDIRNE,19540,40,28
163,TEKIRDAG,EDIRNE,160709,74,28
164,EDIRNE,EDIRNE,4239024,28,28
165,KIRKLARELI,EDIRNE,209592,50,28
166,BALIKESIR,EDIRNE,18678,12,28
167,CANAKKALE,EDIRNE,53102,22,28
168,IZMIR,EDIRNE,9763,41,28
169,AYDIN,EDIRNE,9780,11,28
170,DENIZLI,EDIRNE,7567,25,28
171,MUGLA,EDIRNE,10128,60,28
172,MANISA,EDIRNE,9574,57,28
173,AFYONKARAHISAR,EDIRNE,7672,3,28
174,KUTAHYA,EDIRNE,7683,55,28
175,USAK,EDIRNE,6871,78,28
176,BURSA,EDIRNE,11489,21,28
177,ESKISEHIR,EDIRNE,8564,32,28
178,BILECIK,EDIRNE,8798,16,28
179,KOCAELI,EDIRNE,11448,53,28
180,SAKARYA,EDIRNE,9941,67,28
181,DUZCE,EDIRNE,7985,27,28
182,BOLU,EDIRNE,9062,19,28
183,YALOVA,EDIRNE,12380,80,28
184,ANKARA,EDIRNE,7647,7,28
185,KONYA,EDIRNE,6434,54,28
186,KARAMAN,EDIRNE,5511,44,28
187,ANTALYA,EDIRNE,7447,8,28
